COUNTY,GEO_ID,NAME,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,ADDRESS
LOWNDES,0500000US28091,"Lowndes County, Mississippi",0,6,AIRBASE,1504,TRUE,ANTIOCH BAPTIST CHURCH FELLOWSHIP HALL,128 JESS LYONS RD COLUMBUS MS 39705
LOWNDES,0500000US28092,"Lowndes County, Mississippi",0,7,BRANDON,1662,FALSE,BRANDON CENTRAL SCH OFF/CAFET,2630 MCARTHUR DR COLUMBUS MS 39705
LOWNDES,0500000US28093,"Lowndes County, Mississippi",0,8,LION HILLS,3235,FALSE,LION HILLS CENTER,2331 MILITARY RD COLUMBUS MS 39705
LOWNDES,0500000US28094,"Lowndes County, Mississippi",0,9,NEW HOPE,5196,FALSE,NEW HOPE COMMUNITY CENTER,281 STADIUM RD COLUMBUS MS 39702
LOWNDES,0500000US28095,"Lowndes County, Mississippi",0,10,RURAL HILL,2812,FALSE,RURAL HILL COMMUNITY CENTER,61 MILLER DR COLUMBUS MS 39702
LOWNDES,0500000US28096,"Lowndes County, Mississippi",0,11,COLEMAN,413,FALSE,COL HOUSING AUTH. BLDG,2201 8TH AV S COLUMBUS MS 39701
LOWNDES,0500000US28097,"Lowndes County, Mississippi",0,12,CRAWFORD,1119,FALSE,CRAWFORD PARK & REC. BLDG,783 MARTIN LUTHER KING JR DR CRAWFORD MS 39736
LOWNDES,0500000US28098,"Lowndes County, Mississippi",0,13,SOUTHSIDE CHURCH,4288,TRUE,SOUTHSIDE MBC LIFE CENTER,100 NASHVILLE FERRY RD E COLUMBUS MS 39702
LOWNDES,0500000US28099,"Lowndes County, Mississippi",0,14,PLUM GROVE,493,FALSE,PLUM GROVE PARK & REC. BLDG.,54 MINNIE VAUGHN RD COLUMBUS MS 39701
LOWNDES,0500000US28100,"Lowndes County, Mississippi",0,15,TOWNSEND PARK,1235,FALSE,TOWNSEND PARK RECREATION BLDG,826 15TH ST SO COLUMBUS MS 39701
LOWNDES,0500000US28101,"Lowndes County, Mississippi",0,16,ARTESIA,439,FALSE,ARTESIA COMMUNITY CENTER,46 S FRONT ST ARTESIA MS 39736
LOWNDES,0500000US28102,"Lowndes County, Mississippi",0,17,HUNT,2173,TRUE,STEPHEN CHAPEL LIFE CENTER,2008 7TH AVENUE NORTH COLUMBUS MS 39701
LOWNDES,0500000US28103,"Lowndes County, Mississippi",0,19,TRINITY,1242,FALSE,TRINITY RETIREMENT HOME,300 AIRLINE RD COLUMBUS MS 39702
LOWNDES,0500000US28104,"Lowndes County, Mississippi",0,20,FIFTEENTH STREET CHURCH,1126,TRUE,FIFTEENTH STREET CHURCH,917 15TH ST N COLUMBUS MS 39701
LOWNDES,0500000US28105,"Lowndes County, Mississippi",0,21,UNIVERSITY,1399,FALSE,BOY SCOUT BUILDING,221 2ND AVE N COLUMBUS MS 39701
LOWNDES,0500000US28106,"Lowndes County, Mississippi",0,22,WEST LOWNDES,1389,FALSE,LOWNDES COUNTY SCHOOLS CENTRAL OFFICE,1053 HWY 45 SOUTH COLUMBUS MS 39701
MADISON,0600000US2808990405,"District 1, Madison County, Mississippi",1,103,MADISON COMMUNITY CENTER,2311,FALSE,CITY OF MADISON COMMUNITY CENTER,7454 OLD CANTON RD MADISON MS 39110
MADISON,0600000US2808990406,"District 1, Madison County, Mississippi",1,105,OLD RICE ROAD BAPTIST CHURCH,2588,TRUE,OLD RICE ROAD BAPTIST CHURCH,82 OLD RICE RD MADISON MS 39110
MADISON,0600000US2808990407,"District 1, Madison County, Mississippi",1,106,NORTHBAY BAYVIEW CLUBHOUSE,1035,FALSE,NORTHBAY BAYVIEW CLUBHOUSE,NORTHBAY BAYVIEW CLUB HOUSE 200 BAYVIEW DR MADISON MS 39110
MADISON,0600000US2808991143,"District 2, Madison County, Mississippi",2,301,RIDGELAND RECREATION CENTER,2934,FALSE,RIDGELAND RECREATION CENTER,RIDGELAND RECREATION CENTER 137 OLD TRACE PARK RIDGELAND MS 39157
MADISON,0600000US2808990405,"District 1, Madison County, Mississippi",1,109,VICTORY BAPTIST CHURCH,1307,TRUE,VICTORY BAPTIST CHURCH,420 HOY RD MADISON MS 39110
MADISON,0600000US2808991143,"District 2, Madison County, Mississippi",2,302,MARK APARTMENTS,2641,FALSE,THE MARK APTS. CLUBHOUSE,THE MARK APARTMENTS CLUBHOUSE 711 LAKE HARBOR RIDGELAND MS 39157
MADISON,0600000US2808990405,"District 1, Madison County, Mississippi",1,113,SUNNYBROOK RETIREMENT VILLAGE,810,FALSE,SUNNYBROOK RETIREMENT VILLAGE,200 SERENITY LANE MADISON MS 391100
MADISON,0600000US2808991143,"District 2, Madison County, Mississippi",2,203,VERTICAL CHURCH,3589,TRUE,VERTICAL CHURCH,521 GLUCKSTADT RD MADISON MS 39110
MADISON,0600000US2808991144,"District 2, Madison County, Mississippi",2,204,PARKWAY PENTECOSTAL CHURCH,4713,TRUE,PARKWAY PENTECOSTAL CHURCH,PARKWAY PENTECOSTAL CHURCH 601 REUNION PARKWAY MADISON MS 39110
MADISON,0600000US2808991145,"District 2, Madison County, Mississippi",2,205,GLUCKSTADT @ ST JOE CATHOLIC,3931,TRUE,GLUCKSTADT @ ST JOE CATHOLIC,127 CHURCH RD MADISON MS 39110
MADISON,0600000US2808991146,"District 2, Madison County, Mississippi",2,206,CHINA GROVE A.M.E. CHURCH,1910,TRUE,CHINA GROVE A.M.E. CHURCH,1060 MANNSDALE RD MADISON MS 39110
MADISON,0600000US2808990405,"District 1, Madison County, Mississippi",1,102,PILGRIM REST MB CHURCH,3056,TRUE,PILGRIM REST MB CHURCH,852A MADISON AVE MADISON MS 39110
MADISON,0600000US2808990405,"District 1, Madison County, Mississippi",1,101,FIRST PRESBYTERIAN MADISON,2244,TRUE,FIRST PRESBYTERIAN MADISON,FIRST PRESBYTERIAN CHURCH 7717 OLD CANTON RD MADISON MS 39110
MADISON,0600000US2808991881,"District 3, Madison County, Mississippi",3,309,TRACE RIDGE BAPTIST CHURCH,2389,TRUE,TRACE RIDGE BAPTIST CHURCH,238 LAKE HARBOR DR RIDGELAND MS 39157
MADISON,0600000US2808991882,"District 3, Madison County, Mississippi",3,310,OLD TOWN WESLEY CHURCH,1955,TRUE,OLD TOWN WESLEY CHURCH,234 W JACKSON ST RIDGELAND MS 39157
MADISON,0600000US2808992619,"District 4, Madison County, Mississippi",4,420,COLONIAL HEIGHTS BAPTIST CHURCH,1491,TRUE,COLONIAL HEIGHTS BAPTIST CHURCH,444 NORTHPARK DR RIDGELAND MS 39157
MADISON,0600000US2808991881,"District 3, Madison County, Mississippi",3,315,HOLMES CC WORKFORCE BLDG,4569,FALSE,HOLMES CC WORKFORCE BLDG,150 COLLEGE DRIVE RIDGELAND MS 39157
MADISON,0600000US2808992619,"District 4, Madison County, Mississippi",4,406,GREATER MT LEVI FULL GOSPEL,816,TRUE,GREATER MT LEVI FULL GOSPEL BAPTIST CHURCH,1008 W FULTON ST CANTON MS 39046
MADISON,0600000US2808992620,"District 4, Madison County, Mississippi",4,407,CANTON ST. PAUL METHODIST CHURCH,249,TRUE,ST. PAUL METHODIST CHURCH,505 S UNION ST CANTON MS 39046
MADISON,0600000US2808992621,"District 4, Madison County, Mississippi",4,408,FELLOWSHIP BIBLE CHURCH,687,TRUE,FELLOWSHIP BIBLE CHURCH,FELLOWSHIP BIBLE CHURCH 2270 HIGHWAY 51 CANTON MS 39046
MADISON,0600000US2808992622,"District 4, Madison County, Mississippi",4,409,TOUGALOO,296,FALSE,TOUGALOO,TOUGALOO COLLEGE HEALTH & WELLNESS CENTER ROOM 212 500 W COUNTY LINE RD TOUGALOO MS 39174
MADISON,0600000US2808991143,"District 2, Madison County, Mississippi",2,210,LAKE CAROLINE CLUBHOUSE,4317,FALSE,LAKE CAROLINE CLUBHOUSE,667 BELLVUE DR MADISON MS 39110
MADISON,0600000US2808992619,"District 4, Madison County, Mississippi",4,411,TWIN LAKES BAPTIST CHURCH,1661,TRUE,TWIN LAKES BAPTIST CHURCH,TWIN LAKES BAPTIST CHURCH 673 LAKE CAVALIER ROAD MADISON MS 39110
MADISON,0600000US2808992620,"District 4, Madison County, Mississippi",4,412,FEARNS CHAPEL FREEWILL BAPTIST CHURCH,1654,TRUE,FEARNS CHAPEL FREEWILL BAPTIST,615 POCAHONTAS ROAD FLORA MS 39071
MADISON,0600000US2808992621,"District 4, Madison County, Mississippi",4,413,FRANKLIN BAPTIST CHURCH,379,TRUE,FRANKLIN BAPTIST CHURCH,FRANKLIN BAPTIST CHURCH 2222 COX FERRY RD FLORA MS 39071
MADISON,0600000US2808992622,"District 4, Madison County, Mississippi",4,414,MAGNOLIA HEIGHTS,1537,FALSE,KEARNEY PARK FIRE STATION,KEARNEY PARK FIRE STATION 443 LIVINGSTON VERNON RD FLORA MS 39071
