COUNTY,COUNTY_NAME,CTY_GEO_ID,SUBCOUNTY_NAME,SUBCTY_GEO_ID,DISTRICT,PRECINCT_CODE,PRECINCT_NAME,ACTIVE_VOTER_COUNT,CHURCH,POLLING_PLACE,Address
AMITE,"Amite County, Mississippi",0500000US28005,"District 2, Amite County, Mississippi",0600000US2800590765,2,212,BERWICK,368,True,BERWICK/JERUSALEM BAPT. CHURCH,3590-A JERUSALEM RD LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 2, Amite County, Mississippi",0600000US2800590765,2,213,EAST CENTREVILLE,520,False,E.CENTREVILLE/HWY. 48 W,1299 MS HWY 48 CENTREVILLE MS 39631
AMITE,"Amite County, Mississippi",0500000US28005,"District 2, Amite County, Mississippi",0600000US2800590765,2,214,STREET,404,False,STREET VOLUNTEER FIRE DEPT.,2169 MS HWY 569 S LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 3, Amite County, Mississippi",0600000US2800591503,3,310A,CROSBY PUBLIC LIBRARY,222,False,CROSBY PUBLIC LIBRARY,106 PINE ST CROSBY MS 39631
AMITE,"Amite County, Mississippi",0500000US28005,"District 3, Amite County, Mississippi",0600000US2800591503,3,311,GLOSTER,802,False,GLOSTER TRANSFER/COMPACTOR,4909 E HOMOCHITTO RD GLOSTER MS 39638
AMITE,"Amite County, Mississippi",0500000US28005,"District 3, Amite County, Mississippi",0600000US2800591503,3,312,HOMOCHITTO,78,False,HOMOCHITTO/MT. VERNON CHURCH,2038 POOLE LN GLOSTER MS 39638
AMITE,"Amite County, Mississippi",0500000US28005,"District 3, Amite County, Mississippi",0600000US2800591503,3,313,ONEIL,336,False,O'NEIL FIRE DEPARTMENT,5697 OXFORD MEADVILLE RD GLOSTER MS 39638
AMITE,"Amite County, Mississippi",0500000US28005,"District 3, Amite County, Mississippi",0600000US2800591503,3,314,EAST GLOSTER,363,False,EAST GLOSTER/GLOSTER F.D.,251 S FIRST STREET GLOSTER MS 39638
AMITE,"Amite County, Mississippi",0500000US28005,"District 4, Amite County, Mississippi",0600000US2800592241,4,410,EAST FORK,479,False,EAST FORK/HWY. 24/PEORIA RD.,4330 PEORIA RD LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 4, Amite County, Mississippi",0600000US2800592241,4,411,EAST LIBERTY,242,False,EAST LIBERTY/CENTRAL REPAIR BLDG.,720 INDUSTRIAL PARK ROAD LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 4, Amite County, Mississippi",0600000US2800592241,4,412,SMITHDALE,528,False,SMITHDALE/HWY. 570 - FENN RD.,6485 MS HWY 570 SMITHDALE MS 39664
AMITE,"Amite County, Mississippi",0500000US28005,"District 4, Amite County, Mississippi",0600000US2800592241,4,413,TANGIPAHOA,606,False,TANGIPAHOA RD/HWY. 570,7651 MS HIGHWAY 570 SUMMIT MS 39666
AMITE,"Amite County, Mississippi",0500000US28005,"District 5, Amite County, Mississippi",0600000US2800592979,5,510,RICEVILLE,485,False,RICEVILLE/HWY. 568/PALMER RD.,2505 PALMER RD MAGNOLIA MS 39652
AMITE,"Amite County, Mississippi",0500000US28005,"District 5, Amite County, Mississippi",0600000US2800592979,5,511,SOUTH LIBERTY,377,False,S. LIBERTY/HARRISON BLDG.,910 OLD MCCOMB LIBERTY ROD LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 5, Amite County, Mississippi",0600000US2800592979,5,512,TICKFAW,404,False,TICKFAW/PEORIA ROAD,3499 PEORIA RD LIBERTY MS 39645
AMITE,"Amite County, Mississippi",0500000US28005,"District 5, Amite County, Mississippi",0600000US2800592979,5,513,WALLS,786,False,WALLS/GILLSBURG VOL. F. D.,6077 MS HWY 568 OSYKA MS 39657
ATTALA,"Attala County, Mississippi",0500000US28007,"District 1, Attala County, Mississippi",0600000US2800790036,1,10,SOUTH CENTRAL,932,False,OLD KJHS,600 TIPTON STREET KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 1, Attala County, Mississippi",0600000US2800790036,1,11,WILLIAMSVILLE,1293,True,WBC GYM,16995 WILLIAMSVILLE ROAD KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 2, Attala County, Mississippi",0600000US2800790774,2,20,NORTH EAST,1592,False,COLISEUM,550 HWY 12 EAST KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 2, Attala County, Mississippi",0600000US2800790774,2,22,MCCOOL,343,False,MCCOOL FIRE STATION,3235 HWY 407 MCCOOL MS 39108
ATTALA,"Attala County, Mississippi",0500000US28007,"District 2, Attala County, Mississippi",0600000US2800790774,2,24,LIBERTY CHAPEL,295,False,MASONIC LODGE,2079 ATTALA ROAD 2253 ETHEL MS 39067
ATTALA,"Attala County, Mississippi",0500000US28007,"District 2, Attala County, Mississippi",0600000US2800790774,2,25,BEREA,138,False,COMMUNITY HOUSE,22828 ATTALA ROAD 3122 MCCOOL MS 39108
ATTALA,"Attala County, Mississippi",0500000US28007,"District 3, Attala County, Mississippi",0600000US2800791512,3,30,NORTH WEST,1013,False,COURTHOUSE,118 WEST WASHINGTON STREET KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 3, Attala County, Mississippi",0600000US2800791512,3,31,NORTH CENTRAL,360,False,RIDING ARENA,12983 HWY 43 NORTH KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 3, Attala County, Mississippi",0600000US2800791512,3,33,CARMACK,234,False,SCHOOL BUILDING,24410 HWY 35 NORTH VAIDEN MS 39176
ATTALA,"Attala County, Mississippi",0500000US28007,"District 3, Attala County, Mississippi",0600000US2800791512,3,34,POSSUMNECK*,262,True,SPRINGDALE BAPTIST CHURCH,28314 MS-19 WEST MS 39192
ATTALA,"Attala County, Mississippi",0500000US28007,"District 3, Attala County, Mississippi",0600000US2800791512,3,36,HESTERVILLE,254,False,MASONIC LODGE,2199 ATTALA ROAD 3231 KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 4, Attala County, Mississippi",0600000US2800792250,4,40,SOUTH WEST,503,False,HOLMES COMMUNITY COLLEGE,620 WEST JEFFERSON STREET KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 4, Attala County, Mississippi",0600000US2800792250,4,42,NEWPORT,371,False,LONGHORNS STEAKHOUSE,9465 HWY 14 SALLIS MS 39160
ATTALA,"Attala County, Mississippi",0500000US28007,"District 4, Attala County, Mississippi",0600000US2800792250,4,43,SALLIS,1076,True,NEW ST JAMES CHURCH OF GOD,6041 FRONT STREET SALLIS MS 39160
ATTALA,"Attala County, Mississippi",0500000US28007,"District 4, Attala County, Mississippi",0600000US2800792250,4,44,MCADAMS,355,True,MCADAMS BAPTIST CHURCH,6265 ATTALA RD 4167 SALLIS MS 39160
ATTALA,"Attala County, Mississippi",0500000US28007,"District 5, Attala County, Mississippi",0600000US2800792988,5,50,EAST,845,False,JASON NILES PARK PAVILION,501 KNOX ROAD KOSCIUSKO MS 39090
ATTALA,"Attala County, Mississippi",0500000US28007,"District 5, Attala County, Mississippi",0600000US2800792988,5,51,PROVIDENCE,359,False,PROVIDENCE FIRE STATION,7995 ATTALA ROAD 5053 ETHEL MS 39067
ATTALA,"Attala County, Mississippi",0500000US28007,"District 5, Attala County, Mississippi",0600000US2800792988,5,52,ZAMA*,307,False,ZAMA FIRE STATION,3888 HWY 19 SOUTH KOSCIUSKO MS 39090
